texto,sentimento
A conta de água e esgoto dobrou de valor.,NEUTRO
A falta de educação dele é vergonhosa.,NEGATIVO
A atitude de gratidão dele é tocante.,POSITIVO
A palestra começará pontualmente às 10h.,NEUTRO
O cheiro de podre vindo da geladeira é insuportável.,NEGATIVO
O sucesso do evento foi resultado de muito esforço.,POSITIVO
O valor da compra foi parcelado em 10 vezes sem juros.,NEUTRO
O calor intenso e sufocante está me deixando doente.,NEGATIVO
A comida do chef renomado estava espetacular.,POSITIVO
A nova regra será aplicada a partir de amanhã.,NEUTRO
A incerteza sobre o futuro profissional me atormenta.,NEGATIVO
O gesto de carinho dele me deu forças para continuar.,POSITIVO
O pacote de férias inclui passagem e hospedagem.,NEUTRO
O preço daquele carro de luxo é um roubo.,NEGATIVO
Foi o passeio mais divertido e inesquecível do ano.,POSITIVO
A máquina de lavar roupas está com problema na centrifugação.,NEUTRO
A atitude de descaso da gerência me entristece.,NEGATIVO
A equipe demonstrou um comprometimento admirável.,POSITIVO
O resultado da análise de sangue ficou pronto.,NEUTRO
O odor fétido da água parada é insuportável.,NEGATIVO
O novo tablet tem uma resolução de tela fantástica.,POSITIVO
A temperatura máxima prevista para hoje é de 28 graus.,NEUTRO
A irresponsabilidade dela causou um sério acidente.,NEGATIVO
É um prazer enorme poder ajudar a comunidade.,POSITIVO
O documento precisa ser digitalizado e enviado por e-mail.,NEUTRO
A falta de perspectiva de melhoria me deprime.,NEGATIVO
A paisagem do campo é relaxante e revigorante.,POSITIVO
O pagamento foi confirmado há cinco minutos.,NEUTRO
Fui completamente ignorado na hora de fazer a reclamação.,NEGATIVO
A palestra de ontem foi esclarecedora e muito inspiradora.,POSITIVO
"O preço das ações subiu 0,5% hoje.",NEUTRO
O barulho da obra ao lado é um pesadelo constante.,NEGATIVO
Que notícia maravilhosa para começar o dia!,POSITIVO
A encomenda está prevista para chegar na próxima sexta-feira.,NEUTRO
A comida estava rançosa e tive que jogar tudo fora.,NEGATIVO
O novo modelo de celular é revolucionário e inovador.,POSITIVO
O relatório contém dados sobre a taxa de desemprego.,NEUTRO
A imprudência dele quase custou a vida de alguém.,NEGATIVO
A beleza da arte renascentista me encanta.,POSITIVO
O evento será transmitido a partir das 20h.,NEUTRO
As promessas não cumpridas me deixaram muito desconfiado.,NEGATIVO
"Ele é um líder nato, cheio de carisma e visão.",POSITIVO
A reunião de planejamento mensal acontece na primeira segunda-feira.,NEUTRO
A lentidão da internet é irritante e impede o trabalho.,NEGATIVO
O produto superou em muito minhas expectativas.,POSITIVO
O cachorro comeu o osso que estava na sala.,NEUTRO
A sensação de fracasso me corrói por dentro.,NEGATIVO
A doçura no olhar dela acalma qualquer tempestade.,POSITIVO
O arquivo PDF foi enviado por engano.,NEUTRO
A falta de responsabilidade dele é inaceitável.,NEGATIVO
"Ele é um ser humano excepcional, bondoso e generoso.",POSITIVO
A impressora precisa ser reabastecida com papel.,NEUTRO
O preço daquele apartamento é um abuso.,NEGATIVO
O sorriso dela é a coisa mais bonita que já vi.,POSITIVO
O prazo para a conclusão do curso foi estendido.,NEUTRO
A incerteza sobre o futuro me deixa apavorado.,NEGATIVO
A nova interface do aplicativo é prática e agradável.,POSITIVO
O computador está reiniciando o sistema.,NEUTRO
A má qualidade do material causou o rompimento da peça.,NEGATIVO
A atitude de gratidão dele é uma lição de vida.,POSITIVO
A garrafa de água caiu no chão e molhou o tapete.,NEUTRO
O tratamento foi horrível; o médico foi rude e insensível.,NEGATIVO
Que dia abençoado! O sol e o vento estão perfeitos.,POSITIVO
A temperatura do refrigerador deve estar em 4 graus Celsius.,NEUTRO
O descumprimento do contrato resultará em multa pesada.,NEGATIVO
A ajuda inesperada foi um verdadeiro alívio.,POSITIVO
A loja está aberta das 9h às 20h.,NEUTRO
O lixo acumulado atrai ratos e doenças.,NEGATIVO
A proposta de trabalho é empolgante e desafiadora.,POSITIVO
O trem para a capital parte em 15 minutos.,NEUTRO
A sensação de tédio na espera foi agonizante.,NEGATIVO
A dedicação e o esforço foram plenamente recompensados.,POSITIVO
O mapa do metrô mostra a linha vermelha e azul.,NEUTRO
Fiquei completamente devastado com a notícia.,NEGATIVO
O sabor da torta caseira me traz lembranças felizes.,POSITIVO
O número do protocolo de atendimento é 000123456.,NEUTRO
O cancelamento do show de última hora me irritou muito.,NEGATIVO
A honestidade dela em confessar o erro foi admirável.,POSITIVO
A luz da cozinha está piscando.,NEUTRO
A falta de empatia dele é uma coisa de outro mundo.,NEGATIVO
A nova política da empresa beneficia todos os colaboradores.,POSITIVO
O cão está dormindo tranquilamente no sofá.,NEUTRO
O cheiro de podridão na rua está me dando náuseas.,NEGATIVO
O espetáculo de dança foi a coisa mais linda que já vi.,POSITIVO
A conta de telefone chegou com valor incorreto.,NEUTRO
A negligência com os equipamentos causou a explosão.,NEGATIVO
Ele tem um futuro promissor pela frente.,POSITIVO
O relatório de segurança foi enviado aos gestores.,NEUTRO
A sensação de injustiça me consumiu por dias.,NEGATIVO
Que alívio saber que tudo deu certo no final!,POSITIVO
A reunião com o cliente será presencial.,NEUTRO
A indiferença dele perante o sofrimento me chocou.,NEGATIVO
A vitória foi gloriosa e incontestável.,POSITIVO
O prazo final para o cadastro é 30 de novembro.,NEUTRO
O prejuízo financeiro causado pela crise é assustador.,NEGATIVO
A bondade no coração das pessoas me renova as esperanças.,POSITIVO
O código de acesso à rede Wi-Fi está na recepção.,NEUTRO
O tratamento que recebi foi humilhante e desnecessário.,NEGATIVO
A atitude de liderança dela inspirou toda a equipe.,POSITIVO
A televisão tem 55 polegadas e resolução 4K.,NEUTRO
A falta de vagas para estacionar me deixa irritado.,NEGATIVO
O carinho dos meus amigos é o meu maior tesouro.,POSITIVO
O café está frio.,NEUTRO
A fofoca maldosa que espalharam sobre mim me magoou.,NEGATIVO
A sensação de estar apaixonado é maravilhosa.,POSITIVO
O documento deve ser preenchido em letra de forma.,NEUTRO
A arrogância dele o faz ser uma pessoa detestável.,NEGATIVO
"O novo design do site é limpo, moderno e fácil de usar.",POSITIVO
"O valor da fatura é de R$ 250,00.",NEUTRO
O excesso de burocracia é o nosso pior inimigo.,NEGATIVO
A solução tecnológica apresentada é um divisor de águas.,POSITIVO
A cadeira quebrou e precisa de reparo.,NEUTRO
A decepção com o resultado foi amarga e profunda.,NEGATIVO
Ele tem um coração de ouro e sempre ajuda quem precisa.,POSITIVO
A encomenda chegará em até 10 dias úteis.,NEUTRO
A sensação de pânico durante o voo foi terrível.,NEGATIVO
O novo chef de cozinha é um talento excepcional.,POSITIVO
O carro está com o tanque cheio de gasolina.,NEUTRO
O cheiro de cigarro no quarto do hotel era péssimo.,NEGATIVO
Fui recebido com uma calorosa e sincera acolhida.,POSITIVO
O manual de instruções tem mais de 50 páginas.,NEUTRO
A falta de investimento está destruindo o patrimônio histórico.,NEGATIVO
O evento de premiação foi glamoroso e muito bem conduzido.,POSITIVO
O prazo para a inscrição no concurso terminou ontem.,NEUTRO
A imprudência dele na direção colocou em risco a família.,NEGATIVO
Ele tem uma mente brilhante e ideias inovadoras.,POSITIVO
A temperatura ideal para a cerveja é de 4 graus Celsius.,NEUTRO
O desrespeito ao horário de funcionamento é inaceitável.,NEGATIVO
A nova ferramenta de análise de dados é extremamente poderosa.,POSITIVO
O computador precisa de uma nova placa de vídeo.,NEUTRO
"A injustiça da situação me deixou sem palavras, apenas raiva.",NEGATIVO
Que experiência revigorante e cheia de boas energias!,POSITIVO
O prédio comercial foi inaugurado no ano passado.,NEUTRO
A espera de mais de duas horas no hospital foi angustiante.,NEGATIVO
"A comida estava saborosíssima, temperada na medida certa.",POSITIVO
O livro aborda o tema da sustentabilidade.,NEUTRO
O barulho da chuva forte me impede de dormir.,NEGATIVO
A conquista do título foi emocionante e merecida.,POSITIVO
A porta do armário não fecha direito.,NEUTRO
A falta de preparo da equipe causou um grande vexame.,NEGATIVO
O novo plano de benefícios é generoso e excelente.,POSITIVO
O valor da multa por estacionamento irregular é alto.,NEUTRO
A situação financeira me causa um estresse tremendo.,NEGATIVO
A oportunidade de crescimento é a melhor coisa desta empresa.,POSITIVO
"O número do apartamento é 102, no segundo andar.",NEUTRO
A sensação de fracasso após o teste foi devastadora.,NEGATIVO
O feedback construtivo que recebi foi muito valioso.,POSITIVO
O gato preto está dormindo na cama.,NEUTRO
O cheiro de queimado vindo do motor me assustou.,NEGATIVO
A dedicação dela é uma inspiração para todos nós.,POSITIVO
A encomenda será entregue em horário comercial.,NEUTRO
A irresponsabilidade com as finanças é um grande problema.,NEGATIVO
A gentileza e o carinho dela são inesquecíveis.,POSITIVO
A temperatura do ambiente está em 24 graus.,NEUTRO
A notícia da demissão inesperada me deixou em pânico.,NEGATIVO
Ele tem uma capacidade de superação admirável.,POSITIVO
O livro conta a história de um detetive particular.,NEUTRO
O atendimento foi péssimo; o funcionário foi mal-educado.,NEGATIVO
O investimento na nova tecnologia foi extremamente acertado.,POSITIVO
A reunião de acompanhamento será semanal.,NEUTRO
A falta de perspectiva de futuro me entristece.,NEGATIVO
O sorriso daquela criança ilumina qualquer lugar.,POSITIVO
O avião decolou no horário previsto.,NEUTRO
Fui vítima de uma fraude e perdi todo o meu dinheiro.,NEGATIVO
A nova coleção de roupas está simplesmente deslumbrante.,POSITIVO
"A impressora está ligada, mas não imprime.",NEUTRO
O barulho constante do vizinho é de enlouquecer.,NEGATIVO
A honestidade dele em assumir o erro é um ponto positivo.,POSITIVO
O documento foi assinado digitalmente.,NEUTRO
O gosto de remédio amargo na boca é insuportável.,NEGATIVO
Que emoção indescritível ao cruzar a linha de chegada!,POSITIVO
O total de vendas no mês passado foi de R$ 500 mil.,NEUTRO
A burocracia excessiva faz com que eu desista de tudo.,NEGATIVO
O novo sistema de gestão é eficiente e muito intuitivo.,POSITIVO
O curso de culinária terá duração de três meses.,NEUTRO
A atitude de indiferença dele perante a dor é fria.,NEGATIVO
A paisagem da montanha é de uma beleza que acalma a alma.,POSITIVO
O carro foi fabricado no ano de 2020.,NEUTRO
A falta de segurança na vizinhança é apavorante.,NEGATIVO
A bondade dele é uma luz na vida de quem precisa.,POSITIVO
O valor da diária no hotel é de 350 reais.,NEUTRO
A decepção com o resultado me deixou desanimado.,NEGATIVO
Ele é um verdadeiro mestre na arte da oratória.,POSITIVO
O pacote de dados será renovado automaticamente.,NEUTRO
O abandono da causa por parte da organização foi lamentável.,NEGATIVO
O elogio que recebi me motivou a seguir em frente.,POSITIVO
O contrato de aluguel será revisado em um ano.,NEUTRO
A má gestão dos recursos causou um rombo financeiro.,NEGATIVO
A experiência com o novo produto foi totalmente satisfatória.,POSITIVO
A nova regra será aplicada a partir de hoje.,NEUTRO
A arrogância dele em todas as reuniões é insuportável.,NEGATIVO
O novo chef trouxe ideias inovadoras e deliciosas.,POSITIVO
A previsão do tempo para a semana é de tempo seco.,NEUTRO
A tristeza pela perda é algo que não consigo superar.,NEGATIVO
O trabalho voluntário me enche de alegria e propósito.,POSITIVO
A impressora está sem conexão com a rede.,NEUTRO
A falta de qualidade do material resultou em quebras constantes.,NEGATIVO
O filme é uma obra-prima do cinema nacional.,POSITIVO
O telefone do suporte técnico é 0800-123-4567.,NEUTRO
A sensação de desespero ao ver o fogo se alastrar foi terrível.,NEGATIVO
O gesto de solidariedade deles foi um farol de esperança.,POSITIVO
O documento precisa de três assinaturas diferentes.,NEUTRO
A irresponsabilidade fiscal nos levou à ruína.,NEGATIVO
A sensação de paz e tranquilidade daquele lugar é única.,POSITIVO
O relógio digital tem alarme e cronômetro.,NEUTRO
"O preço do combustível subiu novamente, um verdadeiro abuso.",NEGATIVO
A solução que encontramos é muito mais barata e eficaz.,POSITIVO
A reunião foi encerrada sem nenhuma decisão tomada.,NEUTRO
Fui alvo de bullying e isso me causou um trauma.,NEGATIVO
"A festa de casamento estava impecável, pura magia.",POSITIVO
A velocidade máxima permitida na via é de 80 km/h.,NEUTRO
A falta de interesse dele no projeto é desanimadora.,NEGATIVO
Ele tem uma risada contagiante que alegra a todos.,POSITIVO
O prazo de entrega do relatório é na quarta-feira.,NEUTRO
A má vontade do atendente me tirou do sério.,NEGATIVO
O novo investimento trará resultados espetaculares.,POSITIVO
O documento deve ser enviado em até 24 horas.,NEUTRO
O excesso de barulho vindo da rua é perturbador.,NEGATIVO
A oportunidade de viajar e conhecer novas culturas é enriquecedora.,POSITIVO
A máquina de café expresso está quebrada.,NEUTRO
A sensação de impotência diante da tragédia é dolorosa.,NEGATIVO
O novo programa de treinamento é abrangente e muito útil.,POSITIVO
"O preço do ingresso para o show é de R$ 120,00.",NEUTRO
A falta de água no bairro é uma calamidade.,NEGATIVO
Que sensação de alívio ao receber a boa notícia!,POSITIVO
"A luz do painel está piscando, indicando um erro.",NEUTRO
O descaso com o dinheiro público é um crime inaceitável.,NEGATIVO
O sabor da fruta colhida na hora é incomparável.,POSITIVO
A nova rota do ônibus economiza 10 minutos de viagem.,NEUTRO
A demora na resposta me deixou extremamente impaciente.,NEGATIVO
Ele é o funcionário mais competente e dedicado da empresa.,POSITIVO
O filme de ficção científica estreou no último fim de semana.,NEUTRO
A atitude de vingança dele é infantil e destrutiva.,NEGATIVO
A beleza daquela obra de arte me tirou o fôlego.,POSITIVO
A encomenda foi enviada via Sedex.,NEUTRO
A humilhação que ele me fez passar é imperdoável.,NEGATIVO
O novo software aumentou nossa produtividade em 30%.,POSITIVO
A previsão do tempo indica sol e calor para o feriado.,NEUTRO
A falta de recursos impede a continuidade da pesquisa.,NEGATIVO
O ambiente de trabalho é harmonioso e estimulante.,POSITIVO
O livro de receitas ensina a fazer pães caseiros.,NEUTRO
A atitude rude e desrespeitosa dele estragou meu dia.,NEGATIVO
Que sorte a minha ter amigos tão incríveis!,POSITIVO
O relatório preliminar foi apresentado na segunda-feira.,NEUTRO
A crise de ansiedade me deixou paralisado e com medo.,NEGATIVO
A sensação de dever cumprido me traz grande satisfação.,POSITIVO
O computador está reiniciando para aplicar atualizações.,NEUTRO
O cheiro de podre da comida me causou ânsia.,NEGATIVO
O novo sistema de filtragem de água é genial.,POSITIVO
A prova final terá 20 questões de múltipla escolha.,NEUTRO
O abandono da causa por falta de apoio me frustrou.,NEGATIVO
A generosidade dela para com os animais é emocionante.,POSITIVO
"A reunião durou mais de três horas, um recorde.",NEUTRO
O tratamento que recebi foi negligente e irresponsável.,NEGATIVO
O novo chef de pastelaria é um verdadeiro artista.,POSITIVO
O valor total da compra foi de 300 reais.,NEUTRO
A imprudência ao volante causou um acidente sério.,NEGATIVO
A vista do alto do morro é espetacular e única.,POSITIVO
O prazo para a entrega do TCC foi prorrogado.,NEUTRO
Sinto uma tristeza profunda pela forma como as coisas acabaram.,NEGATIVO
A nova política de trabalho flexível é uma benção.,POSITIVO
O evento será realizado no próximo mês de abril.,NEUTRO
A falta de informação causou um prejuízo enorme.,NEGATIVO
O reconhecimento do meu esforço me deixou muito feliz.,POSITIVO
O carro foi multado por excesso de velocidade.,NEUTRO
A ineficiência do serviço público é um problema crônico.,NEGATIVO
O show de luzes no final do evento foi mágico.,POSITIVO
O número de desempregados atingiu o menor índice em 10 anos.,NEUTRO
A incerteza econômica gera muita insegurança.,NEGATIVO
A oportunidade de aprendizado é inestimável.,POSITIVO
O pacote inclui três diárias com pensão completa.,NEUTRO
O custo de vida está insuportavelmente alto.,NEGATIVO
O abraço da minha avó é o meu porto seguro.,POSITIVO
A nova edição do livro tem capa dura e ilustrações.,NEUTRO
A falta de transparência da empresa é alarmante.,NEGATIVO
O resultado dos exames de saúde foi excelente.,POSITIVO
O trem quebra na linha todas as manhãs.,NEUTRO
O cheiro de esgoto na rua é nauseante.,NEGATIVO
O novo aplicativo é muito mais amigável e fácil de usar.,POSITIVO
A validade do passaporte expira em junho do próximo ano.,NEUTRO
A crise de abastecimento está afetando o mercado.,NEGATIVO
A capacidade de resiliência dela é inspiradora.,POSITIVO
O número de série do produto é 456ABC789.,NEUTRO
Fiquei completamente desamparado na hora que mais precisei.,NEGATIVO
O presente que recebi é o mais lindo que já ganhei.,POSITIVO
O prédio tem 15 andares e fica na área central.,NEUTRO
A arrogância do atendente me deixou furioso.,NEGATIVO
A sensação de paz após a tempestade é reconfortante.,POSITIVO
"O livro tem 250 páginas e custa R$ 80,00.",NEUTRO
A falta de segurança no transporte público é um perigo.,NEGATIVO
A equipe de voluntários demonstrou uma dedicação incrível.,POSITIVO
O relatório foi impresso em papel reciclado.,NEUTRO
A comida estava fria e a apresentação era lamentável.,NEGATIVO
O novo sistema de vendas é rápido e eficiente.,POSITIVO
A reunião de follow-up será por videoconferência.,NEUTRO
A decepção com o amigo me deixou em estado de choque.,NEGATIVO
A proposta de parceria é promissora e muito bem-vinda.,POSITIVO
A nova política de privacidade exige autenticação em dois fatores.,NEUTRO
O preço abusivo daquele produto é um assalto ao consumidor.,NEGATIVO
A atitude gentil do motorista salvou o dia.,POSITIVO
A conta de água veio com um erro de cálculo.,NEUTRO
O medo de ser pego me consumiu por semanas.,NEGATIVO
A beleza daquele pôr do sol na montanha era indescritível.,POSITIVO
O curso tem carga horária de 40 horas.,NEUTRO
A falta de profissionalismo dele é notória e me irrita.,NEGATIVO
Que alegria em rever a família depois de tanto tempo!,POSITIVO
O valor do imposto aumentou 10% neste ano.,NEUTRO
O cheiro forte de tinta fresca me deu dor de cabeça.,NEGATIVO
"O espetáculo de dança foi perfeito, do começo ao fim.",POSITIVO
A mensagem foi enviada às 14h45.,NEUTRO
A situação de abandono do parque é deprimente.,NEGATIVO
A nova estratégia de vendas é muito mais eficaz.,POSITIVO
O relatório aponta uma queda nas vendas de 5%.,NEUTRO
A sensação de fracasso é esmagadora e sufocante.,NEGATIVO
Ele tem um talento nato para criar soluções inovadoras.,POSITIVO
A nova lei de trânsito está gerando controvérsia.,NEUTRO
O custo das passagens aéreas está proibitivo.,NEGATIVO
O feedback que recebi foi muito encorajador e útil.,POSITIVO
O celular precisa de uma recarga de bateria.,NEUTRO
A falta de consideração com os colegas me irrita.,NEGATIVO
A sensação de estar livre e leve é indescritível.,POSITIVO
A temperatura da água está ideal para nadar.,NEUTRO
A notícia da perda me deixou em um estado de choque.,NEGATIVO
O carinho demonstrado pelos fãs foi comovente.,POSITIVO
A reunião de emergência foi cancelada.,NEUTRO
O desperdício de comida no restaurante é chocante.,NEGATIVO
O atendimento da loja foi impecável e muito atencioso.,POSITIVO
O valor da fatura deve ser pago até o dia 10.,NEUTRO
O descumprimento das regras causou uma punição severa.,NEGATIVO
O novo software de gestão é intuitivo e muito poderoso.,POSITIVO
O relatório detalha os gastos do último mês.,NEUTRO
O cheiro de queimado vindo da rua é preocupante.,NEGATIVO
A atitude proativa do líder resolveu o problema a tempo.,POSITIVO
O preço dos combustíveis continua em alta.,NEUTRO
A ineficiência do processo me causou uma dor de cabeça.,NEGATIVO
A culinária daquele país é exótica e deliciosa.,POSITIVO
O novo prazo de entrega é de 15 dias úteis.,NEUTRO
A situação de insegurança me fez mudar de casa.,NEGATIVO
A beleza da natureza daquele parque é revigorante.,POSITIVO
O documento está salvo na pasta de downloads.,NEUTRO
A arrogância do vendedor foi o motivo da minha desistência.,NEGATIVO
Ele é o palestrante mais inspirador que já assisti.,POSITIVO
O livro tem uma capa dura e 500 páginas.,NEUTRO
A falta de profissionalismo me fez perder a confiança.,NEGATIVO
O novo método de trabalho é eficaz e otimiza o tempo.,POSITIVO
A lâmpada da sala de estar está queimada.,NEUTRO
A notícia da demissão me deixou totalmente desolado.,NEGATIVO
A gentileza e a educação dele são admiráveis.,POSITIVO
A máquina de lavar está na garantia por mais um ano.,NEUTRO
O descaso com a infraestrutura local é lamentável.,NEGATIVO
A visão otimista dele sobre o futuro me anima.,POSITIVO
O valor da entrada será dividido por dois.,NEUTRO
Fui alvo de uma piada de mau gosto e me senti ofendido.,NEGATIVO
O abraço apertado dela me deu forças para seguir.,POSITIVO
O prazo para a inscrição no vestibular se encerra na sexta.,NEUTRO
A falta de perspectiva me causa um sofrimento imenso.,NEGATIVO
A nova campanha de marketing é criativa e envolvente.,POSITIVO
O computador está solicitando um novo driver.,NEUTRO
A má qualidade do serviço justifica a reclamação.,NEGATIVO
O sorriso sincero de um bebê é a coisa mais pura.,POSITIVO
O novo tablet pesa apenas 500 gramas.,NEUTRO
O preço é um roubo; não vale o que é cobrado.,NEGATIVO
A sensação de alegria ao encontrar um velho amigo.,POSITIVO
O telefone da portaria não está funcionando.,NEUTRO
A atitude de covardia dele me envergonhou.,NEGATIVO
A dedicação dela é um exemplo a ser seguido.,POSITIVO
A loja abre às 9h e fecha às 21h.,NEUTRO
"O lixo se acumula na porta do prédio, um horror.",NEGATIVO
A doçura no tratamento do enfermeiro foi essencial.,POSITIVO
O documento precisa ser validado por um advogado.,NEUTRO
A sensação de pânico durante o assalto foi horrível.,NEGATIVO
O show de encerramento foi emocionante e memorável.,POSITIVO
A nova regra de vestimenta é mais rígida.,NEUTRO
A falta de empatia com a dor alheia é revoltante.,NEGATIVO
A proposta de investimento é muito segura e rentável.,POSITIVO
A impressora está com a luz de alerta acesa.,NEUTRO
O atendimento foi rude e o funcionário parecia entediado.,NEGATIVO
O novo design do carro é futurista e elegante.,POSITIVO
O número de protocolo do atendimento é 1234.,NEUTRO
A irresponsabilidade causou a perda de todos os dados.,NEGATIVO
O sabor do vinho tinto era suave e aveludado.,POSITIVO
O relatório final será entregue até o fim da tarde.,NEUTRO
A má gestão dos recursos levou a um corte drástico.,NEGATIVO
O novo empreendimento é um marco na história da cidade.,POSITIVO
A reunião de planejamento está prevista para as 15h.,NEUTRO
O barulho da sirene me causou uma dor de cabeça forte.,NEGATIVO
Que alegria imensa em poder te ajudar neste momento!,POSITIVO
O valor da dívida está parcelado em 12 vezes.,NEUTRO
A negligência com o paciente causou danos irreparáveis.,NEGATIVO
O carinho e o apoio da família são inestimáveis.,POSITIVO
A geladeira tem três prateleiras e um gavetão.,NEUTRO
A indiferença com o problema do colega é decepcionante.,NEGATIVO
O novo método de trabalho é uma verdadeira revolução.,POSITIVO
O prazo para a quitação do empréstimo é de 30 anos.,NEUTRO
O tratamento foi doloroso e ineficaz.,NEGATIVO
A bondade no coração daquele homem me emociona.,POSITIVO
O documento foi redigido em português.,NEUTRO
A incerteza do futuro me causa uma angústia profunda.,NEGATIVO
A atitude de coragem dele salvou a todos.,POSITIVO
O novo celular tem câmera de 20 megapixels.,NEUTRO
A sujeira na mesa me causou nojo.,NEGATIVO
O sorriso dela me acalma e me traz paz.,POSITIVO
O carro precisa ser lavado e encerado.,NEUTRO
A falta de vontade dele em colaborar é irritante.,NEGATIVO
"A solução proposta é simples, elegante e eficaz.",POSITIVO
O valor do aluguel aumentará em 10% no próximo ano.,NEUTRO
O cheiro de queimado no prédio gerou pânico.,NEGATIVO
A experiência de mergulho foi maravilhosa e inesquecível.,POSITIVO
O número de telefone para contato está no cartão de visita.,NEUTRO
Fui alvo de uma injustiça e me senti impotente.,NEGATIVO
O novo livro do autor é uma obra-prima da literatura.,POSITIVO
O computador está na assistência técnica há três dias.,NEUTRO
O prejuízo na produção foi bilionário.,NEGATIVO
O esforço da equipe foi extraordinário e recompensado.,POSITIVO
A data de entrega do produto é 25 de dezembro.,NEUTRO
A falta de perspectiva de emprego me preocupa.,NEGATIVO
"A paisagem do local era de tirar o fôlego, pura beleza.",POSITIVO
O valor do imposto municipal aumentou.,NEUTRO
A atitude de agressividade dele é intolerável.,NEGATIVO
A sensação de acolhimento do hotel foi maravilhosa.,POSITIVO
O prazo de garantia do produto expirou ontem.,NEUTRO
"O lixo se acumula nas margens do rio, um crime ambiental.",NEGATIVO
O novo modelo de carro é seguro e muito confortável.,POSITIVO
O relatório final será revisado antes da publicação.,NEUTRO
A burocracia do processo de visto é cansativa.,NEGATIVO
"Ele é um verdadeiro gênio da tecnologia, suas ideias são geniais.",POSITIVO
A temperatura máxima registrada no mês foi de 35 graus.,NEUTRO
O atendimento foi horrível; esperei por mais de uma hora.,NEGATIVO
O show de luzes na cidade foi um espetáculo inesquecível.,POSITIVO
O número de protocolo do serviço de atendimento é 4321.,NEUTRO
A lentidão do sistema me faz perder muito tempo.,NEGATIVO
A dedicação e o carinho dela com os idosos é exemplar.,POSITIVO
O apartamento tem dois quartos e uma suíte.,NEUTRO
A falta de perspectiva me deixa desmotivado.,NEGATIVO
"A solução proposta é simples, barata e muito eficaz.",POSITIVO
A reunião foi encerrada sem deliberações.,NEUTRO
O preço dos alimentos subiu de forma absurda.,NEGATIVO
Que alívio saber que o tratamento está funcionando!,POSITIVO
O computador está emitindo um som estranho.,NEUTRO
A atitude de descaso com a saúde me revolta.,NEGATIVO
O ambiente de trabalho é leve e muito colaborativo.,POSITIVO
O valor da multa será descontado em folha.,NEUTRO
A sensação de abandono me consome por dentro.,NEGATIVO
O gesto de bondade dele transformou a vida da família.,POSITIVO
O curso de inglês tem duração de dois anos.,NEUTRO
O cheiro de podre vindo do bueiro é insuportável.,NEGATIVO
"Ele é um verdadeiro herói, salvando vidas.",POSITIVO
O trem para a cidade vizinha parte da plataforma 5.,NEUTRO
A notícia da perda do emprego me deixou em pânico.,NEGATIVO
A vista do terraço é simplesmente de tirar o fôlego.,POSITIVO
O valor da inscrição no evento é de 100 reais.,NEUTRO
A falta de segurança na rua é apavorante.,NEGATIVO
Que dia glorioso! O sol e o céu estão perfeitos.,POSITIVO
O prazo para a renovação da carteira de motorista é em dezembro.,NEUTRO
O tratamento foi invasivo e não trouxe o resultado esperado.,NEGATIVO
A capacidade de resiliência dele é muito inspiradora.,POSITIVO
O relatório contém informações sobre a economia global.,NEUTRO
A comida estava estragada e passei muito mal.,NEGATIVO
A nova tecnologia é muito mais intuitiva e eficiente.,POSITIVO
O ônibus 104 atrasou vinte minutos.,NEUTRO
A imprudência ao dirigir causou um acidente com feridos.,NEGATIVO
A sensação de paz e tranquilidade é maravilhosa.,POSITIVO
O livro tem uma capa azul e amarela.,NEUTRO
A falta de atenção dele me fez cometer um erro grave.,NEGATIVO
"Ele é um amigo fiel, daqueles que podemos confiar.",POSITIVO
O carro está com o pneu murcho.,NEUTRO
O serviço de entrega atrasou três dias.,NEGATIVO
O sabor do café desta cafeteria é incomparável e delicioso.,POSITIVO
O preço do bilhete de trem aumentará em 5%.,NEUTRO
A atitude de descaso com o cliente é imperdoável.,NEGATIVO
A sensação de vitória após o esforço é gratificante.,POSITIVO
A luz da sala de aula está queimada.,NEUTRO
O barulho da construção é insuportável e irritante.,NEGATIVO
A nova política de férias é muito generosa.,POSITIVO
O documento foi enviado por correio.,NEUTRO
A falta de higiene no restaurante é preocupante.,NEGATIVO
A doçura daquele olhar me acalmou instantaneamente.,POSITIVO
O número de participantes na conferência foi de 500.,NEUTRO
A injustiça da situação me deixou revoltado.,NEGATIVO
O novo modelo de celular tem uma câmera excepcional.,POSITIVO
O valor da mensalidade do plano de saúde subiu.,NEUTRO
O prejuízo financeiro foi incalculável e devastador.,NEGATIVO
A iniciativa de caridade foi um sucesso e ajudou muitas pessoas.,POSITIVO
A reunião será conduzida pelo novo gerente.,NEUTRO
O cheiro de mofo no apartamento é deprimente.,NEGATIVO
Ele é um profissional dedicado e de uma competência notável.,POSITIVO
A televisão tem tela de LED e 42 polegadas.,NEUTRO
A falta de água no banheiro me deixou irritado.,NEGATIVO
O novo sistema de pagamentos é rápido e muito seguro.,POSITIVO
A data limite para a entrega do produto é amanhã.,NEUTRO
Fui vítima de uma mentira e me senti traído.,NEGATIVO
A bondade no coração daquela pessoa é inspiradora.,POSITIVO
O contrato de trabalho é de tempo indeterminado.,NEUTRO
A arrogância dele em todas as conversas é insuportável.,NEGATIVO
O ambiente da festa estava animado e cheio de boas energias.,POSITIVO
O livro de história tem 12 capítulos sobre a Segunda Guerra Mundial.,NEUTRO
A lentidão do processo me causou muita frustração.,NEGATIVO
