sentimento,texto_limpo
1,valor fatura deve pago dia
0,descumprimento regras causou punição severa
2,novo software gestão intuitivo poderoso
1,relatório detalha gastos último mês
0,cheiro queimado vindo rua preocupante
2,atitude proativa líder resolveu problema tempo
1,preço combustíveis continua alta
0,ineficiência processo causou dor cabeça
2,culinária daquele país exótica deliciosa
1,novo prazo entrega dias úteis
0,situação insegurança fez mudar casa
2,beleza natureza daquele parque revigorante
1,documento salvo pasta downloads
0,arrogância vendedor motivo desistência
2,Ele palestrante inspirador assisti
1,livro capa dura páginas
0,falta profissionalismo fez perder confiança
2,novo método trabalho eficaz otimiza tempo
1,lâmpada sala queimada
0,notícia demissão deixou totalmente desolado
2,gentileza educação admiráveis
1,máquina lavar garantia ano
0,descaso infraestrutura local lamentável
2,visão otimista sobre futuro anima
1,valor entrada dividido dois
0,Fui alvo piada mau gosto senti ofendido
2,abraço apertado deu forças seguir
1,prazo inscrição vestibular encerra sexta
0,falta perspectiva causa sofrimento imenso
2,nova campanha marketing criativa envolvente
1,computador solicitando novo driver
0,má qualidade serviço justifica reclamação
2,sorriso sincero bebê coisa pura
1,novo tablet pesa apenas gramas
0,preço roubo vale cobrado
2,sensação alegria encontrar velho amigo
1,telefone portaria funcionando
0,atitude covardia envergonhou
2,dedicação exemplo seguido
1,loja abre h fecha h
0,lixo acumula porta prédio horror
2,doçura tratamento enfermeiro essencial
1,documento precisa validado advogado
0,sensação pânico durante assalto horrível
2,show encerramento emocionante memorável
1,nova regra vestimenta rígida
0,falta empatia dor alheia revoltante
2,proposta investimento segura rentável
1,impressora luz alerta acesa
0,atendimento rude funcionário parecia entediado
2,novo design carro futurista elegante
1,número protocolo atendimento
0,irresponsabilidade causou perda todos dados
2,sabor vinho tinto suave aveludado
1,relatório final entregue fim tarde
0,má gestão recursos levou corte drástico
2,novo empreendimento marco história cidade
1,reunião planejamento prevista h
0,barulho sirene causou dor cabeça forte
2,Que alegria imensa poder ajudar neste momento
1,valor dívida parcelado vezes
0,negligência paciente causou danos irreparáveis
2,carinho apoio família inestimáveis
1,geladeira três prateleiras gavetão
0,indiferença problema colega decepcionante
2,novo método trabalho verdadeira revolução
1,prazo quitação empréstimo anos
0,tratamento doloroso ineficaz
2,bondade coração daquele homem emociona
1,documento redigido português
0,incerteza futuro causa angústia profunda
2,atitude coragem salvou todos
1,novo celular câmera megapixels
0,sujeira mesa causou nojo
2,sorriso acalma traz paz
1,carro precisa lavado encerado
0,falta vontade colaborar irritante
2,solução proposta simples elegante eficaz
1,valor aluguel aumentará próximo ano
0,cheiro queimado prédio gerou pânico
2,experiência mergulho maravilhosa inesquecível
1,número telefone contato cartão visita
0,Fui alvo injustiça senti impotente
2,novo livro autor obraprima literatura
1,computador assistência técnica três dias
0,prejuízo produção bilionário
2,esforço equipe extraordinário recompensado
1,data entrega produto dezembro
0,falta perspectiva emprego preocupa
2,paisagem local tirar fôlego pura beleza
1,valor imposto municipal aumentou
0,atitude agressividade intolerável
2,sensação acolhimento hotel maravilhosa
1,prazo garantia produto expirou ontem
0,lixo acumula margens rio crime ambiental
2,novo modelo carro seguro confortável
1,relatório final revisado antes publicação
0,burocracia processo visto cansativa
2,Ele verdadeiro gênio tecnologia ideias geniais
1,temperatura máxima registrada mês graus
0,atendimento horrível esperei hora
2,show luzes cidade espetáculo inesquecível
1,número protocolo serviço atendimento
0,lentidão sistema faz perder tempo
2,dedicação carinho idosos exemplar
1,apartamento dois quartos suíte
0,falta perspectiva deixa desmotivado
2,solução proposta simples barata eficaz
1,reunião encerrada deliberações
0,preço alimentos subiu forma absurda
2,Que alívio saber tratamento funcionando
1,computador emitindo som estranho
0,atitude descaso saúde revolta
2,ambiente trabalho leve colaborativo
1,valor multa descontado folha
0,sensação abandono consome dentro
2,gesto bondade transformou vida família
1,curso inglês duração dois anos
0,cheiro podre vindo bueiro insuportável
2,Ele verdadeiro herói salvando vidas
1,trem cidade vizinha parte plataforma
0,notícia perda emprego deixou pânico
2,vista terraço simplesmente tirar fôlego
1,valor inscrição evento reais
0,falta segurança rua apavorante
2,Que dia glorioso sol céu perfeitos
1,prazo renovação carteira motorista dezembro
0,tratamento invasivo trouxe resultado esperado
2,capacidade resiliência inspiradora
1,relatório contém informações sobre economia global
0,comida estragada passei mal
2,nova tecnologia intuitiva eficiente
1,ônibus atrasou vinte minutos
0,imprudência dirigir causou acidente feridos
2,sensação paz tranquilidade maravilhosa
1,livro capa azul amarela
0,falta atenção fez cometer erro grave
2,Ele amigo fiel daqueles podemos confiar
1,carro pneu murcho
0,serviço entrega atrasou três dias
2,sabor café desta cafeteria incomparável delicioso
1,preço bilhete trem aumentará
0,atitude descaso cliente imperdoável
2,sensação vitória após esforço gratificante
1,luz sala aula queimada
0,barulho construção insuportável irritante
2,nova política férias generosa
1,documento enviado correio
0,falta higiene restaurante preocupante
2,doçura daquele olhar acalmou instantaneamente
1,número participantes conferência
0,injustiça situação deixou revoltado
2,novo modelo celular câmera excepcional
1,valor mensalidade plano saúde subiu
0,prejuízo financeiro incalculável devastador
2,iniciativa caridade sucesso ajudou muitas pessoas
1,reunião conduzida novo gerente
0,cheiro mofo apartamento deprimente
2,Ele profissional dedicado competência notável
1,televisão tela LED polegadas
0,falta água banheiro deixou irritado
2,novo sistema pagamentos rápido seguro
1,data limite entrega produto amanhã
0,Fui vítima mentira senti traído
2,bondade coração daquela pessoa inspiradora
1,contrato trabalho tempo indeterminado
0,arrogância todas conversas insuportável
2,ambiente festa animado cheio boas energias
1,livro história capítulos sobre Segunda Guerra Mundial
0,lentidão processo causou muita frustração
2,solução encontramos genial simples tempo
1,preço gasolina variando
0,irresponsabilidade tarefas inaceitável
2,Que prazer receber elogio sincero
1,impressora conexão internet
0,sabor amargo ruim bebida fez cuspir
2,capacidade liderança inspiradora
1,novo aplicativo requer atualização segurança
0,crise pânico deixou completamente mim
2,dedicação esforço chave sucesso
1,prazo entrega projeto mês
0,desrespeito lei sinal falta civilidade
2,sorriso daquela criança coisa linda mundo
1,total compra R
0,falta perspectiva causa tristeza imensa
2,atendimento rápido eficiente cordial
1,relatório aponta crescimento próximo ano
0,barulho moto vizinho tira sono
2,solução propôs brilhante criativa
1,reunião transferida sala B
0,sensação fracasso após investimento devastadora
2,atitude coragem crucial salvamento
1,livro publicado idiomas
0,preço aluguel abusivo injusto
2,novo software extremamente fácil usar intuitivo
1,computador exibindo mensagem erro
0,cheiro podridão cesto lixo insuportável
2,Que alegria imensa poder compartilhar momento
1,previsão chuva milímetros noite
0,falta segurança parque perigo constante
2,nova política benefícios vantajosa todos
1,valor multa trânsito pago ontem
0,má gestão crise causou prejuízo imenso
2,paisagem praia amanhecer espetáculo divino
1,trem Rio Janeiro parte plataforma principal
0,Fiquei chocado nível crueldade daquela pessoa
2,Ele verdadeiro mentor conselhos valiosos
1,encomenda chegou caixa amassada
0,arrogância todas discussões irritante
2,nova interface aplicativo agradável usar
1,relatório vendas apresentado próxima semana
0,negligência problema causou desastre
2,ambiente trabalho acolhedor altamente produtivo
1,bicicleta cinco marchas freio disco
0,atitude desrespeitosa reunião inaceitável
2,Que sensação liberdade caminhar montanha
1,valor imposto predial aumentou
0,falta transparência empresa deixou desconfiado
2,culinária deste restaurante experiência inesquecível
1,computador acesso internet
0,cheiro podre fruta estragada nauseante
2,dedicação estudos exemplo esforço
1,prazo entrega currículo hoje
0,irresponsabilidade animais partir coração
2,novo sistema filtragem água genial eficiente
1,reunião pauta conduzida editorchefe
0,tratamento médico doloroso ineficaz
2,sorriso sincero acalmou momento difícil
1,carro precisa alinhamento balanceamento
0,lentidão processo aprovação frustrante
2,iniciativa sustentabilidade empresa admirável
1,número telefone contato mudou
0,falta perspectiva causa dor imensa
2,novo método ensino divertido eficaz
1,livro história páginas
0,Fui alvo bullying escola traumatizou
2,sensação dever cumprido melhor recompensa todas
1,valor passagem ônibus aumentou
0,ineficiência serviço correios lamentável
2,Ele verdadeiro amigo sempre presente leal
1,documento deve assinado gerente
0,preço ingresso roubo
2,performance musical impecável show talento
1,relatório aponta aumento vendas
0,cheiro esgoto rua nauseante
2,novo design produto elegante moderno
1,máquina lavar fazendo barulho estranho
0,falta respeito atendente deixou furioso
2,atitude gratidão tocante inspiradora
1,prazo validade produto ano
0,arrogância chefe insuportável
2,solução encontramos inovadora simples
1,contrato renovado três meses
0,perda animal estimação deixou triste
2,Que notícia maravilhosa começar dia
1,número série aparelho XYZ
0,falta paciência grande problema
2,vista alto prédio deslumbrante
1,relatório segurança aponta falhas graves
0,descaso velhos vergonha
2,generosidade necessitados admirável
1,valor mensalidade academia reais
0,crise econômica gerou muita insegurança
2,sensação paz conforto casa única
1,novo modelo celular tela polegadas
0,tratamento recebi negligente irresponsável
2,novo empreendimento sucesso estrondoso
1,documento redigido português inglês
0,irresponsabilidade causou acidente grave
2,comida fresquinha tempero perfeito
1,reunião planejamento durou manhã inteira
0,barulho constante rua impede trabalhar
2,abraço mãe melhor conforto mundo
1,prazo entrega pedido dias úteis
0,Fui vítima fraude perdi todo dinheiro
2,beleza daquela flor exótica encantou
1,relatório enviado todos diretores
0,falta perspectiva crescimento frustrou
2,solução proposta brilhante criativa
1,valor conta energia elétrica alto
0,cheiro forte perfume sala insuportável
2,sorriso coisa bonita vi
1,computador travou durante instalação
0,situação abandono local deprimente
2,nova estratégia vendas eficaz
1,avião Londres decola h
0,custo cirurgia proibitivo maioria
2,Que alegria poder reencontrar amigos
1,total participantes evento pessoas
0,falta perspectiva emprego desanima
2,atitude coragem heroísmo deve reconhecida
1,prazo entrega produto horas
0,preço daquele ingresso exorbitante
2,show eletrizante banda incrível
1,relatório contém dados sobre taxa inflação
0,atitude rude desrespeitosa estragou noite
2,nova ferramenta trabalho fantástica útil
1,documento deve preenchido caneta azul
0,cheiro lixo acumulado rua insuportável
2,sensação dever cumprido traz grande paz
1,celular bateria
0,imprudência dirigir causou susto
2,Ele pessoa gentil prestativa conheço
1,valor fatura deve pago próxima semana
0,lentidão serviço online causou muita raiva
2,Que notícia maravilhosa Estou feliz
1,prédio nova política reciclagem
0,falta empatia chocou profundamente
2,novo design apartamento moderno funcional
1,encomenda entregue endereço errado
0,custo vida cidade caro
2,beleza daquela obra arte tirar fôlego
1,resultado pesquisa inconclusivo
0,negligência equipamentos causou prejuízo
2,oportunidade crescimento empresa incrível
1,trem cidade parte cada minutos
0,preço abusivo qualidade oferecida
2,dedicação carinho família exemplares
1,relatório final divulgado amanhã
0,barulho constante vizinho enlouquecer
2,novo sistema gestão projetos genial
1,reunião planejamento durou duas horas
0,insegurança ruas aumentou drasticamente
2,sorriso sincero criança acalmou ambiente
1,contrato trabalho validade ano
0,má vontade atendente tirou paciência
2,nova política sustentabilidade grande avanço
1,temperatura deserto chega graus
0,falta consideração deixou magoado
2,Ele profissional competência notável
1,livro capítulos total
0,crise hídrica deixou população pânico
2,sensação vitória após desafio indescritível
1,valor diária hotel reais
0,falta higiene local repugnante
2,proposta parceria promissora
1,computador precisa formatado
0,tratamento recebido humilhante desnecessário
2,carinho atenção fizeram sentir amado
1,relatório aponta déficit mil reais
0,descaso animais abandonados deprimente
2,doçura daquele bebê derreter coração
1,nova regra implementada partir segunda
0,cheiro queimado vindo cozinha forte
2,solução encontrada brilhante simples
1,número protocolo seguro
0,situação emergência causou pânico generalizado
2,vista terraço linda cidade
1,prazo conclusão obra meses
0,falta vagas emprego causa ansiedade
2,novo método ensino divertido eficaz
1,conta telefone veio valor incorreto
0,irresponsabilidade tarefas inaceitável
2,gesto solidariedade ato amor
1,reunião conduzida diretor executivo
0,abandono obra sinal má gestão
2,Que alegria enorme poder ajudar neste projeto
1,preço bilhete trem aumentou neste mês
0,tratamento recebi negligente causou dor
2,novo aplicativo rápido seguro útil
1,relatório final entregue formato digital
0,falta profissionalismo notória
2,beleza daquela paisagem natural acalmou
1,total vendas último trimestre R milhão
0,preço produto acima valor justo
2,ambiente trabalho harmonioso inspirador
1,data limite entrega TCC dezembro
0,Fiquei completamente desamparado hora precisei
2,Ele verdadeiro amigo presente vida
1,número habitantes cidade milhões
0,cheiro podridão rua insuportável nauseante
2,feedback recebi construtivo encorajador
1,valor imposto parcelado vezes
0,ineficiência processo causou muita frustração
2,novo sistema segurança robusto confiável
1,relatório apresentado PowerPoint
0,notícia perda deixou desolado chão
2,performance artista impecável pura arte
1,computador acesso rede WiFi
0,barulho alto música impede concentração
2,sensação felicidade após formatura imensa
1,prazo validade passaporte anos
0,preço cobrado serviço abuso
2,solução tecnológica genial inovadora
1,reunião adiada próxima semana
0,falta perspectiva causa sofrimento profundo
2,atitude bondade tocou profundamente
1,valor curso R
0,falta respeito líder equipe vergonhosa
